agent,difficulty,trials,win_rate,caught_rate,mean_score,mean_decisions,mean_backtracks,mean_performance,stdev_performance
table_driven,hard,30,0.0,1.0,70.0,9.23,1.0,-933.85,0.09
simple_reflex,hard,30,0.0,1.0,691.67,77.07,5.07,-333.88,111.49
model_based,hard,30,0.0,1.0,578.0,59.0,0.43,-434.67,54.74
goal_based,hard,30,0.233,0.767,682.0,71.43,6.9,353.91,1494.56
utility_based,hard,30,0.0,1.0,488.67,45.97,2.93,-526.39,100.62
learning,hard,30,0.0,1.0,664.0,46.3,2.5,-350.26,264.57
greedy,hard,30,0.033,0.967,161.67,14.9,0.4,-742.11,758.66
random,hard,30,0.0,1.0,131.33,21.9,6.2,-885.45,8.87
